no,name,lat,lon,catchment,river
15018,Abbey St Bathans,55.85329633,-2.387448356,Tweed,Whiteadder Water
234150,Aberlour,57.48021805,-3.205975095,Spey,Spey
115301,Affric Lodge,57.26272622,-5.005979754,Beauly,
234170,Alford,57.24230294,-2.717123004,Don (Aberdeenshire),Don
115302,Allanfearn,57.49914747,-4.151564133,Ness,
234151,Allnabad,58.34717676,-4.644621014,Naver group,Strathmore
115304,Allt Dearg House,57.28490502,-6.187008123,Inner Hebrides,
115500,Amlaird,55.66964373,-4.413260863,Irvine and Ayr,
115501,Amod Farm,55.35009103,-5.717857841,Kintyre Group,
15198,Annfield,56.06640057,-3.371633207,Firth of Forth Group,
115506,Ashgrove,55.66308049,-4.757486092,Irvine and Ayr,
491811,Auchdergannach,57.22063972,-3.651932222,Spey,
15163,Auchentroig,56.11221933,-4.342412217,Forth,
14964,Auchinner,56.31678388,-4.112254665,Earn,Allt Srath a Ghlinne
14952,Auchnafree,56.47302976,-3.904678161,Tay,Almond (Tayside)
234161,Avochie,57.50564634,-2.782377895,Deveron Group,Deveron
322556,Avonbank,55.66347112,-4.051617294,Clyde,Avon Water
15132,Ayton Castle,55.84727645,-2.114611023,Tweed,
518147,Badbea,57.86243941,-5.318746664,Laxford Group,
15103,Baddinsgill Reservoir,55.7838821,-3.394584951,Tweed,
501947,Baintown Rain-gauge,56.22101614,-3.042679056,Firth of Tay Group,
517412,Balfron STW,56.06523441,-4.333343318,Leven (Durnbartonshire),
490985,Balgray RG,55.73428872,-4.5878755,Clyde,
115202,Balmedie STW,57.25007263,-2.0473803,Ythan Group,
374852,Baluniefield,56.48264025,-2.905576117,Firth of Tay Group,
14897,Bannockburn,56.09528478,-3.911816854,Forth,Bannock Burn
499809,Battledykes - Wardmill Farm,56.67359266,-2.895547661,Esk Group,
327235,Beltmoss,55.98678855,-4.056528766,Clyde,
368536,Biggar Burn,55.65035093,-3.543765278,Tweed,
320371,Birkie Hue,58.16554218,-6.740713858,Outer Hebrides,
115516,Blackdyke Farm,55.52935031,-4.326283061,Irvine and Ayr,
115203,Blackhills No 2,57.61017023,-3.222796593,Findhorn Group,
335578,Blacklaw,57.58092196,-2.60024157,Deveron Group,
15116,Blythe,55.7374816,-2.662263534,Tweed,
533744,Boleside,55.59164323,-2.798878774,Tweed,Tweed
115518,Boreland,55.20254702,-3.320073284,Annan,
101227,Bow Burn Raingauge,55.44068058,-4.49863386,Irvine and Ayr,
15161,Braco (Dunduff),56.28192154,-3.904225732,Forth,
115315,Braeroy Lodge,56.98511362,-4.738585589,Lochy (Invernesshire),
133144,Braidlie,55.26142915,-2.824951121,Esk (Dumfriesshire),Hermitage Water
115521,Brigton,55.03779638,-4.566314357,Cree,
335609,Broadside,56.02806207,-3.978158502,Firth of Forth Group,
14987,Brockhoperig,55.4061286,-3.211513384,Tweed,Ettrick Water
115523,Burnfoot (Hawknest),55.66513433,-3.895712474,Clyde,
335612,Bush,55.86190844,-3.206554074,Almond Group,
234176,Cabrach,57.34816,-3.034565786,Deveron Group,Allt Deveron
523676,Cairngorm Raingauge and Snow Scale,57.127702,-3.662955858,Spey,
115526,Caldercruix STW,55.88933558,-3.904553259,Clyde,
338380,Cambo Sands,56.3008799,-2.650067453,Firth of Tay Group,
490984,Camphill WTW Raingauge,55.75032761,-4.74461262,Clyde,
306455,Canonbie Raingauge,55.07786221,-2.942088127,Esk (Dumfriesshire),
576753,Capenoch Raingauge,55.22666817,-3.816934219,Nith,
623290,Capenoch Raingauge No2,55.2292665,-3.81988315,Nith,
577951,Carmyllie-Hume Farm,56.57464969,-2.741331877,Esk Group,
116042,Castle Kennedy,54.90675279,-4.944931414,Cree,
234183,Charr,56.94084906,-2.619402267,Dee (Aberdeenshire),Water of Dye
15004,Chesters,55.37862961,-2.589607681,Tweed,Jed Water
335574,Cheyne,56.97482596,-2.266470239,Esk Group,
115534,Clachan-Seil,56.30375755,-5.601429727,Add Group,
499810,Cleuchhead,56.94774412,-2.388756894,Esk Group,Carron
336370,Cluanie Inn,57.15628843,-5.181590945,Ness,
115318,Coignafearn,57.23285188,-4.139289943,Findhorn Group,
115319,Coille Mhorgil,57.0643694,-5.134923813,Ness,
14921,Colliston,56.61000991,-2.637841019,Esk Group,Colliston Burn
552791,Comer Farm,56.20150723,-4.60131038,Forth,
525510,Comiston Rain Gauge,55.91019401,-3.21598827,Almond Group,
115322,Corrimony,57.33501743,-4.699729622,Ness,
336434,Corsock,55.05876816,-3.945715778,Dee (Galloway),
301400,Coulter Reservoir,55.53306378,-3.52983359,Clyde,
975367,"Coupar Angus, Gilleroo",56.54878475,-3.27069639,---,
115541,Craigdarroch,55.196659,-3.981943267,Nith,
1063066,Craigdarroch No2,55.19548604,-3.9783498,Nith,
513003,Craigenlee Croft Raingauge,54.86294592,-5.075279664,Cree,
234190,Creed Bridge,58.20454028,-6.424227928,Outer Hebrides,Creed
15224,Crichton,55.84509063,-2.988655721,Tyne (Lothian),
38326176,Crichton Mains,55.845089,-2.9865955,Tyne (Lothian),
234192,Cullen,57.68712295,-2.83323079,Deveron Group,Burn of Deskford
498341,Culloden Battlefield,57.47676464,-4.09126842,Ness,
115544,Culzean Castle,55.35068095,-4.791520726,Doon Group,
115546,Dalbeattie STW,54.92152642,-3.821987578,Dee (Galloway),
538510,Dalblair,55.44485443,-4.151929697,Irvine and Ayr,
327232,Daldowie STW,55.83262494,-4.122714806,Clyde,
205724,Dallachy No 2,57.66404417,-3.071018416,Spey,
327234,Dalmarnock STW,55.8374507,-4.216965486,Clyde,
14960,Dalnamein,56.79925858,-4.053453634,Tay,Garry (Tayside)
115327,Dalvina,58.36488646,-4.230503452,Naver group,
302120,Dalwhinnie,56.94069555,-4.238639574,Spey,
341338,Deanston RG,56.19223931,-4.077181451,Forth,
234198,Delnashaugh,57.39970792,-3.357845061,Spey,Avon (Spey)
454765,Derry Lodge,57.02065155,-3.58738853,Dee (Aberdeenshire),
335582,Deskry Shiel,57.18037959,-2.983867766,Don (Aberdeenshire),
115329,Dingwall,57.59992025,-4.446997097,Conon Group,
133077,Dippen,55.58274848,-5.496523588,Kintyre Group,Carradale Water
115217,Dipple,57.61125291,-3.115476523,Spey,
234202,Dosmucheran,57.59587318,-5.005770119,Conon Group,Bran
464646,Drum,56.18484641,-3.532323684,Firth of Forth Group,
115557,Drumjohn,55.24992466,-4.32205779,Dee (Galloway),
377134,Drummore of Cantray,57.48325079,-4.006176025,Findhorn Group,
14904,Duchray,56.15649685,-4.468109175,Forth,Loch Ard Burn
15216,Dunbar,56.00371307,-2.52752897,Tyne (Lothian),
530175,Dundreggan Rain Gauge,57.19161541,-4.767634199,Ness,
15208,Dunglass,55.94267446,-2.38288136,Tyne (Lothian),
115559,Dunlop,55.70737993,-4.528674906,Irvine and Ayr,
509196,Dunnottar Radio Station,56.94652496,-2.21202446,Esk Group,
15180,Dunnswood STW (Cumbernauld),55.97221885,-3.954505606,Firth of Forth Group,
365257,Dunstaffnage,56.45050242,-5.439870612,Add Group,
234207,Durkadale,59.10852817,-3.232172832,Orkneys,Durkadale Burn
568155,Earlsburn reservoir RG,56.07055238,-4.07597911,Firth of Forth Group,
115560,East Kilbride,55.75477386,-4.171759227,Clyde,
15201,Edinburgh RBG (Royal Botanic Garden),55.96662337,-3.212310737,Almond Group,
492363,Einig Wood,57.94421601,-4.764511928,Shin Group,
115562,Eliock,55.34583036,-3.899113859,Nith,
15100,Eskdalemuir Observatory,55.31151326,-3.206798775,Esk (Dumfriesshire),
115221,Esslemont House,57.36510966,-2.112363417,Ythan Group,
115563,Ettrick Bay,55.85650223,-5.145834193,Firth of Clyde Group,
15151,Fife Airport,56.1816502,-3.222449068,Firth of Forth Group,
115339,Flichity,57.33128618,-4.221750189,Findhorn Group,
336372,Forehill,57.50635026,-1.843281987,Ythan Group,
115340,Forsinain,58.41100711,-3.873563607,Naver group,
14948,Forter,56.76674681,-3.332205729,Tay,Isla (Tayside)
115565,Fourmerkland,55.1650788,-3.412506453,Annan,
552790,Frenich Farm,56.22694162,-4.56047225,Forth,
115223,Gairnshiel,57.09199509,-3.165582141,Dee (Aberdeenshire),
14892,Gargunnock,56.13266077,-4.070571402,Forth,Forth
301168,Garls Craig,55.36599829,-3.616030256,Clyde,
464495,Garrogie Lodge,57.17006125,-4.442843871,Ness,
115568,Gatelawbridge,55.25076797,-3.730683565,Nith,
14916,Gella Bridge,56.77535832,-3.027929218,Esk Group,South Esk (Angus)
474984,Gifford Rain Gauge,55.89043578,-2.768969478,Tyne (Lothian),
15114,Gilston,55.80025456,-2.883463821,Tweed,
15204,Gladhouse Reservoir,55.7784118,-3.117398754,Almond Group,
335745,Glen Ample,56.35457736,-4.269993694,Earn,
115343,Glen Nevis,56.79923208,-5.067543348,Loch Linnhe Group,
133088,Glen Strae,56.42522107,-5.000795867,Awe and Etive,Strae
368490,Glenbreck,55.48202196,-3.477754728,Tweed,Tweed
115344,Glendessary,56.98039082,-5.346337447,Lochy (Invernesshire),
536846,Glengavel Reservoir,55.59038124,-4.121595498,Irvine and Ayr,
327238,Glenmavis,55.89359141,-4.013210328,Clyde,
115225,Glenmore Lodge No 2,57.16421784,-3.677609728,Spey,
367371,Glenmuick No2,56.95161175,-3.141253355,Dee (Aberdeenshire),
14891,Glenochil,56.14364525,-3.839304837,Forth,Devon
464636,Glenquey,56.20739317,-3.642080305,Forth,
